Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Spring 2026 Semester,202630,33304,COMM,1113,Business and Professional Speaking,30,"Abdi, Shadee",MWF,1500 - 1605,OAK,Lucie Stern 035,Traditional,4,19,19
Spring 2026 Semester,202630,33305,COMM,1131,"Sex, Relationships, and Communication",30,"Abdi, Shadee",MWF,1615 - 1720,OAK,Lucie Stern 035,Traditional,4,10,25
Spring 2026 Semester,202630,36032,CS,2100,Program Design and Implementation 1,05,"Bhalerao, Rasika",MWR,1035 - 1140,TBA,TBA,Traditional,4,38,40
Spring 2026 Semester,202630,36033,CS,2100,Program Design and Implementation 1,06,"Monge, Alvaro",MWR,1335 - 1440,TBA,TBA,Traditional,4,25,40
Spring 2026 Semester,202630,36035,CS,2101,Lab for CS 2100,01,"Bhalerao, Rasika",F,1035 - 1215,OAK,CPM 102,Traditional,1,27,27
Spring 2026 Semester,202630,36037,CS,2101,Lab for CS 2100,03,"Bhalerao, Rasika",F,1225 - 1405,OAK,CPM 102,Traditional,1,26,27
Spring 2026 Semester,202630,36038,CS,2101,Lab for CS 2100,04,"Bhalerao, Rasika",F,1500 - 1640,OAK,CPM 102,Traditional,1,10,27
Spring 2026 Semester,202630,40246,CS,2535,Professional Practicum,01,"Monge, Alvaro",TR,1500 - 1640,TBA,TBA,Traditional,4,11,25
Spring 2026 Semester,202630,40247,CS,2535,Professional Practicum,02,"Fuentes-Cabrera, Miguel",MW,1150 - 1330,TBA,TBA,Traditional,4,25,25
Spring 2026 Semester,202630,36059,CS,3100,Program Design and Implementation 2,01,"Spertus, Ellen",MWR,1035 - 1140,TBA,TBA,Traditional,4,38,45
Spring 2026 Semester,202630,36060,CS,3100,Program Design and Implementation 2,02,"Spertus, Ellen",MWR,1335 - 1440,TBA,TBA,Traditional,4,37,45
Spring 2026 Semester,202630,36065,CS,3101,Lab for CS 3100,01,"Spertus, Ellen",T,1225 - 1405,OAK,CPM 102,Traditional,1,30,30
Spring 2026 Semester,202630,36066,CS,3101,Lab for CS 3100,02,"Spertus, Ellen",T,1500 - 1640,TBA,TBA,Traditional,1,23,30
Spring 2026 Semester,202630,36068,CS,3101,Lab for CS 3100,04,"Spertus, Ellen",T,1035 - 1215,OAK,CPM 102,Traditional,1,22,30
Spring 2026 Semester,202630,33230,CS,3200,Introduction to Databases,31,"Guerra Gomez, John Alexis",MR,0845 - 1025,TBA,TBA,Traditional,4,40,60
Spring 2026 Semester,202630,36102,CS,5004,Object-Oriented Design,30,"Bhalerao, Rasika",TR,1500 - 1640,OAK,Lucie Stern 010,Traditional,4,8,20
Spring 2026 Semester,202630,36105,CS,5005,Recitation for CS 5004,30,"Bhalerao, Rasika",R,1650 - 1820,OAK,Lucie Stern 010,Traditional,TBA,8,20
Spring 2026 Semester,202630,36107,CS,5008,"Data Structures, Algorithms, and Their Applications within Computer Systems",30,"Wang, Susan",TF,1225 - 1405,OAK,Mills Hall 135,Traditional,4,8,20
Spring 2026 Semester,202630,36111,CS,5009,Recitation for CS 5008,30,"Wang, Susan",F,1500 - 1630,OAK,Mills Hall 135,Traditional,TBA,8,20
Spring 2026 Semester,202630,36125,CS,5100,Foundations of Artificial Intelligence,30,"Farahmand Asil, Maryam",TF,1035 - 1215,OAK,CPM 101,Traditional,4,12,39
Spring 2026 Semester,202630,36139,CS,5700,Fundamentals of Computer Networking,30,"Konrad, Almudena",MW,1150 - 1330,TBA,TBA,Traditional,4,11,30
Spring 2026 Semester,202630,36145,CS,5800,Algorithms,30,"Farahmand Asil, Maryam",TF,1225 - 1405,OAK,CPM 101,Traditional,4,11,39
Spring 2026 Semester,202630,39506,CS,6180,Foundations for Generative AI,30,"Huang, Jiaji",W,1700 - 2020,TBA,TBA,Live Cast,4,5,10
Spring 2026 Semester,202630,39507,CS,6650,Building Scalable Distributed Systems,30,"Coady, Monica",M,1300 - 1500,TBA,TBA,Live Cast,4,5,5
Spring 2026 Semester,202630,39563,CS,7180,SpTp: Vibe Coding,30,"Guerra Gomez, John Alexis",TR,1500 - 1640,TBA,TBA,Traditional,4,7,20
Spring 2026 Semester,202630,36204,CS,7980,Research Capstone,30,"Fuentes-Cabrera, Miguel",W,1500 - 1820,TBA,TBA,Traditional,4,17,20
Spring 2026 Semester,202630,37099,CSYE,6225,Network Structures and Cloud Computing,30,"Alomari, Raja",R,1500 - 1820,TBA,TBA,Traditional,4,4,30
Spring 2026 Semester,202630,39770,EESC,6500,Pathways to Professional Success,12,TBA,M,1800 - 1940,TBA,TBA,Traditional,1,5,35
Spring 2026 Semester,202630,38849,EXED,5945,Experiential Integration Seminar,05,TBA,M,1800 - 1900,XCR,Unidentified campus ROOM,Traditional,TBA,0,15
Spring 2026 Semester,202630,33349,INNO,2301,Innovation!,31,"Gollu, Aleks",TR,1500 - 1640,TBA,TBA,Traditional,4,8,40
Spring 2026 Semester,202630,33295,CAEP,1280,Introduction to Mindfulness,30,"Oda, Takeshi",TR,1500 - 1640,XCR,Unidentified campus ROOM,Traditional,4,16,20
Spring 2026 Semester,202630,38696,CRWT,1801,Writing Creatively in the Age of Artificial Intelligence,01,"Spahr, Juliana",TR,1500 - 1640,TBA,TBA,Traditional,4,15,20
Spring 2026 Semester,202630,39721,ENVR,1101,Environmental Science,03,"Faul, Kristina",WF,0845 - 1025,OAK,Natural Science 212,Traditional,4,9,28
Spring 2026 Semester,202630,34148,ENVR,1200,Dynamic Earth,02,"Faul, Kristina",MR,0845 - 1025,OAK,Natural Science 101,Traditional,4,6,16
Spring 2026 Semester,202630,34154,ENVR,1201,Lab for ENVR 1200,04,"Faul, Kristina",W,1145 - 1440,OAK,Natural Science 101,Traditional,1,4,12
Spring 2026 Semester,202630,32789,ECON,1115,Principles of Macroeconomics,30,"Dave, Neha",WF,0845 - 1025,OAK,Graduate School of Business 117,Traditional,4,12,40
Spring 2026 Semester,202630,33308,ECON,1115,Principles of Macroeconomics,31,"Dave, Neha",TF,1035 - 1215,OAK,Graduate School of Business 117,Traditional,4,32,40
Spring 2026 Semester,202630,33309,ECON,1115,Principles of Macroeconomics,32,"Dave, Neha",TF,1225 - 1405,OAK,Graduate School of Business 117,Traditional,4,22,40
Spring 2026 Semester,202630,33311,ECON,1116,Principles of Microeconomics,31,"LI, Seamus",TF,1225 - 1405,OAK,Natural Science 215,Traditional,4,8,40
Spring 2026 Semester,202630,33312,ECON,1116,Principles of Microeconomics,32,"LI, Seamus",TF,1035 - 1215,OAK,Natural Science 215,Traditional,4,17,40
Spring 2026 Semester,202630,33654,ECON,1116,Principles of Microeconomics,33,"Reilly, Siobhan",WF,0845 - 1025,TBA,TBA,Traditional,4,40,40
Spring 2026 Semester,202630,37481,ECON,1116,Principles of Microeconomics,35,"Reilly, Siobhan",MR,0845 - 1025,TBA,TBA,Traditional,4,40,40
