CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Credits,Enrollment Actual,Enrollment Maximum
39158,BUSN,4945,In-the-Field Experiential Professional Practicum,01,"Karniouchina, Ekaterina; Cooney, Magdalena",T,0845 - 1200,TBA,TBA,8,20,25
32757,CHEM,1161,General Chemistry for Science Majors,30,"Cassano, Jennifer",TR,1500 - 1640,TBA,TBA,4,32,32
33296,CHEM,1161,General Chemistry for Science Majors,31,"Cassano, Jennifer",MW,1150 - 1330,TBA,TBA,4,32,32
32762,CHEM,1162,Lab for CHEM 1161,30,"Faul, Kristina",T,1150 - 1440,TBA,TBA,1,16,16
33297,CHEM,1162,Lab for CHEM 1161,31,"Faul, Kristina",F,1035 - 1325,TBA,TBA,1,16,16
34108,CHEM,1162,Lab for CHEM 1161,32,"Faul, Kristina",M,1150 - 1440,TBA,TBA,1,7,16
32761,CHEM,2311,Organic Chemistry 1,30,"Thomas, William",MWF,1500 - 1605,TBA,TBA,4,60,60
33298,CHEM,2311,Organic Chemistry 1,31,"Thomas, William",MWF,1615 - 1720,TBA,TBA,4,22,60
32764,CHEM,2312,Lab for CHEM 2311,300,"Snyder, Nicole",T,0845 - 1135,TBA,TBA,1,16,16
32895,CHEM,2312,Lab for CHEM 2311,301,"Thomas, William",R,0845 - 1135,TBA,TBA,1,16,16
33301,CHEM,2312,Lab for CHEM 2311,304,"Thomas, William",F,0845 - 1135,TBA,TBA,1,16,16
33302,CHEM,2312,Lab for CHEM 2311,305,"Thomas, William",R,1150 - 1440,TBA,TBA,1,16,16
33303,CHEM,2312,Lab for CHEM 2311,306,"Snyder, Nicole",T,1150 - 1440,TBA,TBA,1,16,16
33304,COMM,1113,Business and Professional Speaking,30,"Abdi, Shadee",MWF,1500 - 1605,TBA,TBA,4,19,19
33305,COMM,1131,"Sex, Relationships, and Communication",30,"Abdi, Shadee",MWF,1615 - 1720,TBA,TBA,4,9,25
36032,CS,2100,Program Design and Implementation 1,05,"Bhalerao, Rasika",MWR,1035 - 1140,TBA,TBA,4,37,40
36033,CS,2100,Program Design and Implementation 1,06,"Monge, Alvaro",MWR,1335 - 1440,TBA,TBA,4,25,40
36035,CS,2101,Lab for CS 2100,01,"Bhalerao, Rasika",F,1035 - 1215,TBA,TBA,1,27,27
36037,CS,2101,Lab for CS 2100,03,"Bhalerao, Rasika",F,1225 - 1405,TBA,TBA,1,25,27
36038,CS,2101,Lab for CS 2100,04,"Bhalerao, Rasika",F,1500 - 1640,TBA,TBA,1,10,27
40246,CS,2535,Professional Practicum,01,"Monge, Alvaro",TR,1500 - 1640,TBA,TBA,4,11,25
40247,CS,2535,Professional Practicum,02,"Fuentes-Cabrera, Miguel",MW,1150 - 1330,TBA,TBA,4,25,25
36059,CS,3100,Program Design and Implementation 2,01,"Spertus, Ellen",MWR,1035 - 1140,TBA,TBA,4,38,45
36060,CS,3100,Program Design and Implementation 2,02,"Spertus, Ellen",MWR,1335 - 1440,TBA,TBA,4,37,45
36065,CS,3101,Lab for CS 3100,01,"Spertus, Ellen",T,1225 - 1405,TBA,TBA,1,30,30
36066,CS,3101,Lab for CS 3100,02,"Spertus, Ellen",T,1500 - 1640,TBA,TBA,1,24,30
36068,CS,3101,Lab for CS 3100,04,"Spertus, Ellen",T,1035 - 1215,TBA,TBA,1,21,30
33230,CS,3200,Introduction to Databases,31,"Guerra Gomez, John Alexis",MR,0845 - 1025,TBA,TBA,4,39,60
36102,CS,5004,Object-Oriented Design,30,"Bhalerao, Rasika",TR,1500 - 1640,TBA,TBA,4,6,20
36105,CS,5005,Recitation for CS 5004,30,"Bhalerao, Rasika",R,1650 - 1820,TBA,TBA,TBA,6,20
36107,CS,5008,"Data Structures, Algorithms, and Their Applications within Computer Systems",30,"Wang, Susan",TF,1225 - 1405,TBA,TBA,4,6,20
36111,CS,5009,Recitation for CS 5008,30,"Wang, Susan",F,1500 - 1630,TBA,TBA,TBA,6,20
36125,CS,5100,Foundations of Artificial Intelligence,30,"Farahmand Asil, Maryam",TF,1035 - 1215,TBA,TBA,4,12,50
36139,CS,5700,Fundamentals of Computer Networking,30,"Konrad, Almudena",MW,1150 - 1330,TBA,TBA,4,10,30
36145,CS,5800,Algorithms,30,"Farahmand Asil, Maryam",TF,1225 - 1405,TBA,TBA,4,8,50
39506,CS,6180,Foundations for Generative AI,30,"Huang, Jiaji",W,1700 - 2020,TBA,TBA,4,5,5
39507,CS,6650,Building Scalable Distributed Systems,30,"Coady, Monica",M,1300 - 1500,TBA,TBA,4,5,5
39563,CS,7180,SpTp: Vibe Coding,30,"Guerra Gomez, John Alexis",TR,1500 - 1640,TBA,TBA,4,5,20
36204,CS,7980,Research Capstone,30,"Fuentes-Cabrera, Miguel",W,1500 - 1820,TBA,TBA,4,16,20
37099,CSYE,6225,Network Structures and Cloud Computing,30,"Alomari, Raja",R,1500 - 1820,TBA,TBA,4,4,30
39770,EESC,6500,Pathways to Professional Success,12,TBA,M,1800 - 1940,TBA,TBA,1,5,35
38849,EXED,5945,Experiential Integration Seminar,05,TBA,M,1800 - 1900,TBA,TBA,TBA,0,15
33349,INNO,2301,Innovation!,31,"Gollu, Aleks",TR,1500 - 1640,TBA,TBA,4,8,40
33295,CAEP,1280,Introduction to Mindfulness,30,"Oda, Takeshi",TR,1500 - 1640,TBA,TBA,4,15,20
38696,CRWT,1801,Writing Creatively in the Age of Artificial Intelligence,01,"Spahr, Juliana",TR,1500 - 1640,TBA,TBA,4,15,20
39721,ENVR,1101,Environmental Science,03,"Faul, Kristina",WF,0845 - 1025,TBA,TBA,4,8,30
34148,ENVR,1200,Dynamic Earth,02,"Faul, Kristina",MR,0845 - 1025,OAK,Natural Science 101,4,7,16
34154,ENVR,1201,Lab for ENVR 1200,04,"Faul, Kristina",W,1145 - 1440,OAK,Natural Science 101,1,4,12
32789,ECON,1115,Principles of Macroeconomics,30,"Dave, Neha",WF,0845 - 1025,OAK,Graduate School of Business 117,4,12,40
33308,ECON,1115,Principles of Macroeconomics,31,"Dave, Neha",TF,1035 - 1215,OAK,Graduate School of Business 117,4,32,40
33309,ECON,1115,Principles of Macroeconomics,32,"Dave, Neha",TF,1225 - 1405,OAK,Graduate School of Business 117,4,22,40
33311,ECON,1116,Principles of Microeconomics,31,"LI, Seamus",TF,1225 - 1405,TBA,TBA,4,8,40
33312,ECON,1116,Principles of Microeconomics,32,"LI, Seamus",TF,1035 - 1215,TBA,TBA,4,16,40
33654,ECON,1116,Principles of Microeconomics,33,"Reilly, Siobhan",WF,0845 - 1025,TBA,TBA,4,40,40
37481,ECON,1116,Principles of Microeconomics,35,"Reilly, Siobhan",MR,0845 - 1025,TBA,TBA,4,40,40
39800,ECON,2315,Macroeconomic Theory,13,TBA,TF,1035 - 1215,TBA,TBA,4,12,35
